status,suite,datacenter,cron,name,host,desk
up,helen,chicago_6,No cron,2,ch6pswtr056,crude
down,settlement,tokyo_2,No cron,1,tk2pswtr012.concord.global,house
up,sapphire,chicago_6,"{""stop_wd"": {""daymonth"": ""*"", ""minute"": ""05"", ""month"": ""*"", ""dayweek"": ""1-5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""00"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}, ""start_wd"": {""daymonth"": ""*"", ""minute"": ""40"", ""month"": ""*"", ""dayweek"": ""1-4"", ""hour"": ""16""}}",treasuries_01,ch6psltr055.concord.global,treasuries
up,order-router,chicago_7,No cron,12,e7ch7066,nat-gas
up,controller,tokyo_1,No cron,1,tk1pswtr020.concord.global,house
down,capture-service,tokyo_1,No cron,2,tk1pswtr020.concord.global,house
up,controller,new_york_4,No cron,1,e7ny4013,house
down,heartbeat-monitor,operations,No cron,1,e7ch7heartbeat.concord.global,house
up,order-router,new_york_4,No cron,4,ny4pswtr039.concord.global,equities
up,hydra,chicago_6,No cron,2,e7ch6023,metals
down,linux_script,chicago_7,No cron,8,e7ch7ftp02.concord.global,house
up,sapphire,chicago_6,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""10"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",equities_04,ch6psltr081.concord.global,equities
up,feeder,tokyo_1,No cron,2,tk1pswtr017.concord.global,house
up,pricefeeder,chicago_5,"{""stop_fri"": {""daymonth"": ""*"", ""minute"": ""15"", ""month"": ""*"", ""dayweek"": ""5"", ""hour"": ""16""}, ""start_sun"": {""daymonth"": ""*"", ""minute"": ""30"", ""month"": ""*"", ""dayweek"": ""0"", ""hour"": ""15""}}",basic_iepa_01,ch5pslss021.concord.global,ssvcs
